Mot/Expression,Frequence
im,646
dont,439
feel,415
like,389
know,323
just,316
want,313
time,259
years,237
ive,225
really,190
relationship,175
dont know,171
help,168
love,168
told,154
life,154
think,153
feel like,145
things,143
boyfriend,143
hes,140
family,125
people,124
friends,117
having,111
lot,108
talk,108
going,108
doesnt,107
sex,106
need,104
got,101
make,100
ago,96
said,94
stop,94
work,93
says,93
past,91
anxiety,91
day,86
husband,84
wrong,83
wanted,82
away,81
school,81
year,80
mom,80
depression,78
wants,78
months,76
parents,75
started,74
times,74
did,74
say,73
home,73
dont want,72
child,71
wife,70
way,70
shes,69
makes,69
didnt,68
guy,68
dad,67
feeling,66
does,66
happy,66
good,66
trying,66
mother,66
tell,64
anymore,63
bad,63
girl,62
issues,61
talking,61
better,61
house,60
friend,59
kids,56
girlfriend,56
right,56
live,56
trust,56
went,56
night,55
thinking,55
try,55
married,55
doing,54
person,54
feelings,54
recently,53
come,52
let,52
angry,51
thought,50
dating,50
stay,50
believe,50
care,48
hard,48
leave,48
daughter,48
tried,47
afraid,47
getting,46
depressed,45
broke,44
hurt,44
job,44
normal,44
long,44
constantly,43
wont,43
lost,43
making,42
son,42
thing,42
used,42
like im,41
problems,41
understand,41
month,41
problem,41
lately,41
thoughts,40
gets,40
left,40
decided,39
asked,39
cheated,38
scared,38
best,38
exboyfriend,38
phone,38
sad,37
mind,37
start,37
little,36
days,36
years ago,36
week,36
feels,36
seeing,35
wasnt,35
anger,35
reason,35
father,35
therapist,34
great,34
change,33
sure,33
stress,33
disorder,33
met,33
felt,33
weve,33
sleep,33
cheating,32
end,32
woman,32
money,32
telling,31
okay,31
deal,31
mean,31
couple,31
upset,31
high,31
later,31
point,31
ask,30
hate,30
close,30
loves,30
man,30
old,29
men,29
break,29
room,29
actually,28
control,28
teenager,28
able,28
pregnant,28
tells,28
drinking,27
new,27
20s,27
head,27
gone,27
marriage,27
happened,27
children,26
crying,26
young,26
moved,26
issue,26
talked,25
called,25
feels like,25
brother,25
took,25
listen,25
fact,25
relationships,25
kind,25
need help,25
heart,24
look,24
thats,24
dont feel,24
baby,24
women,24
hours,24
weeks,24
just want,24
social,24
losing,24
came,24
isnt,23
im afraid,23
saying,23
early,23
wouldnt,23
mad,23
panic,23
sexual,23
im going,23
emotionally,23
ill,23
divorce,23
working,22
crazy,22
knew,22
dealing,22
abusive,22
adult,22
advice,22
know im,22
loved,22
happen,22
matter,22
different,22
living,22
tired,22
im just,22
months ago,21
dog,21
dont like,21
hit,21
personality,21
makes feel,21
girls,21
guilty,20
fix,20
havent,20
late,20
half,20
handle,20
high school,20
pretty,20
whats,20
emotional,20
works,20
currently,20
refuses,19
fiancé,19
fight,19
worried,19
date,19
comes,19
diagnosed,19
counseling,19
lose,19
situation,19
act,18
female,18
doctor,18
saw,18
self,18
continue,18
thinks,18
negative,18
completely,18
taking,18
sleeping,18
car,18
therapy,18
apart,18
abuse,18
place,18
frustrated,18
attacks,18
takes,17
im scared,17
taken,17
support,17
hard time,17
visit,17
pain,17
calls,17
forgive,17
current,17
ended,17
meet,17
order,17
eat,17
fear,17
sick,17
lying,17
speak,17
theyre,17
just dont,17
difficult,17
extremely,16
horrible,16
instead,16
big,16
nightmares,16
gave,16
remember,16
ex,16
goes,16
needs,16
passed,16
trouble,16
gives,16
voices,16
second,16
worse,16
fighting,16
doesnt want,16
im sure,16
hear,16
hurts,15
id,15
read,15
hurting,15
im doing,15
stuff,15
beautiful,15
sister,15
body,15
words,15
lack,15
single,15
im teenager,15
im having,15
answer,15
physically,15
giving,15
gay,15
lied,15
face,15
drugs,15
worthless,15
dont think,15
worked,15
agreed,15
names,15
cut,15
didnt want,15
wake,14
finally,14
messages,14
partner,14
want talk,14
bed,14
exgirlfriend,14
boy,14
alcohol,14
think im,14
gotten,14
fine,14
separated,14
daily,14
random,14
knowing,14
usually,14
use,14
driving,13
boyfriend years,13
honest,13
early 20s,13
learn,13
knows,13
medication,13
far,13
addiction,13
dont understand,13
small,13
plans,13
asking,13
stupid,13
childhood,13
friends family,13
lies,13
forever,13
stopped,13
especially,13
really want,13
leaving,13
walk,13
counselor,13
caught,13
twice,13
experience,13
honestly,13
open,12
idea,12
30s,12
severe,12
abused,12
attention,12
year old,12
im early,12
age,12
male,12
paranoid,12
ive tried,12
panic attacks,12
longer,12
arent,12
emotions,12
changed,12
suicidal,12
virgin,12
comments,12
quit,12
constant,12
contact,12
needed,12
cope,12
truly,12
mentally,12
town,12
decisions,12
terrible,12
feel better,12
fault,12
drink,12
texts,12
drug,12
effort,12
college,12
theres,12
bipolar,12
starting,12
weekend,12
hope,12
happening,12
soon,12
play,12
broken,12
best friend,12
planned,12
state,12
terrified,11
texted,11
acts,11
im trying,11
mood,11
attracted,11
sit,11
eating,11
real,11
low,11
pay,11
enjoy,11
doing wrong,11
jealous,11
fell,11
wish,11
known,11
argument,11
approach,11
insecurities,11
communicate,11
struggling,11
stressed,11
given,11
bullied,11
long time,11
hell,11
short,11
today,11
situations,11
life im,10
lives,10
lie,10
lived,10
look like,10
kicked,10
major,10
morning,10
decision,10
current boyfriend,10
trust issues,10
turned,10
type,10
unable,10
concerned,10
using,10
communication,10
comfortable,10
violent,10
causing,10
cause,10
nice,10
busy,10
ways,10
older,10
attack,10
overwhelmed,10
afford,10
died,10
drive,10
straight,10
spend,10
health,10
seven,10
stop thinking,10
looking,10
guys,10
push,10
friendship,10
mental,10
public,10
missing,10
extreme,10
experienced,10
jobs,10
healthy,10
love anymore,9
make feel,9
raped,9
previous,9
maybe,9
quite,9
nervous,9
ready,9
message,9
present,9
10,9
focus,9
dreams,9
lonely,9
gets angry,9
future,9
forward,9
willing,9
fights,9
feeling way,9
feeling like,9
feel way,9
text,9
feel guilty,9
fake,9
beginning,9
behavior,9
easily,9
doesnt like,9
avoid,9
threatened,9
throw,9
weight,9
time dont,9
time feel,9
desire,9
torn,9
boyfriends,9
boys,9
daughters,9
true,9
coworker,9
ugly,9
connection,9
cares,9
awful,9
leaves,9
lets,9
really need,9
really hard,9
