Mot/Expression,Frequence
feel,2114
help,1842
like,1789
relationship,1566
time,1461
people,1353
therapist,1260
way,1250
want,1217
know,1209
good,1113
things,1041
life,1019
dont,972
need,944
feeling,925
make,922
work,897
person,873
youre,848
feelings,799
therapy,710
just,697
anxiety,685
talk,668
important,664
think,657
best,637
able,634
right,626
thoughts,621
really,612
going,596
support,592
having,589
try,578
que,577
change,540
ask,535
question,517
start,504
love,502
family,494
different,492
say,490
counselor,489
sounds,488
new,475
helpful,475
does,474
understand,473
partner,470
counseling,455
lot,451
ways,443
better,442
trust,430
tell,429
situation,429
im,424
possible,420
difficult,419
learn,416
thing,408
doing,407
issues,405
depression,395
care,395
needs,392
parents,390
sounds like,388
relationships,384
emotions,384
consider,382
doesnt,374
great,365
process,360
look,355
hope,353
maybe,352
come,346
problem,343
experience,341
emotional,340
sure,339
let,328
talking,314
friends,310
past,307
professional,307
times,306
questions,304
answer,303
place,300
likely,299
working,298
mind,292
getting,289
sense,288
trying,286
long,286
normal,284
step,282
child,279
husband,277
la,277
youve,277
fear,276
suggest,274
recommend,269
away,267
safe,267
feels,266
healthy,264
thats,264
hard,263
open,261
sex,261
health,260
boyfriend,260
sexual,259
use,259
stress,257
happy,255
luck,254
mean,250
hear,248
couples,247
believe,247
en,244
behavior,243
reason,240
symptoms,239
day,238
willing,236
little,235
conversation,233
self,232
control,231
positive,230
did,229
usually,229
looking,229
marriage,227
client,226
focus,226
issue,225
friend,225
actually,225
mental,225
hurt,224
seek,222
wrong,222
negative,221
end,221
information,220
makes,219
wish,217
live,215
example,213
taking,211
idea,210
common,210
comfortable,210
point,209
mom,209
children,208
thought,208
sorry,207
decide,207
helps,205
making,205
understanding,202
begin,201
wants,201
trauma,197
asking,197
accept,197
encourage,196
physical,195
tu,194
remember,193
said,193
stop,193
listen,192
anger,191
experiencing,191
kind,190
changes,185
hi,185
daughter,183
deal,183
reasons,183
order,183
thinking,179
el,178
fact,177
hes,177
means,177
discuss,176
offer,176
happen,175
explore,175
stay,175
address,175
es,174
social,173
school,172
treatment,172
saying,170
communication,170
okay,169
clients,168
skills,167
practice,165
para,165
telling,164
allow,164
finding,163
mental health,162
plan,161
specific,160
share,159
situations,159
especially,157
isnt,157
type,157
manage,156
youll,156
attention,156
boundaries,156
youd,155
continue,155
current,155
ones,154
abuse,153
job,153
knowing,153
feel like,152
doctor,152
experiences,151
provide,151
aware,150
couple,150
personal,150
area,149
therapist help,149
present,148
yes,148
instead,147
living,147
body,146
therapists,146
problems,146
simply,146
te,145
emotionally,145
decision,144
probably,143
contact,143
comes,143
pain,142
wonder,142
local,142
loving,142
clear,142
write,142
dont know,141
arent,141
takes,140
set,140
hello,140
deep,139
concerns,139
lead,139
parent,139
true,139
partners,138
loss,138
fears,137
based,137
years,136
felt,135
handle,135
worth,134
moment,134
bring,133
learning,133
connection,133
certainly,132
coping,132
quite,132
forward,132
honest,131
wife,131
home,131
behaviors,131
future,130
